ts,p1,p2,p3,p4
6570,564,221,33,20
6580,543,214,0,0
6590,607,227,13,6
6600,560,216,5,5
6610,591,223,0,0
6620,574,221,33,20
6630,534,213,0,0
6640,581,227,12,5
6650,522,216,5,4
6660,546,223,0,0
6670,531,221,33,20
6680,495,213,0,0
6690,547,227,12,5
6700,497,216,6,5
6710,525,223,0,0
6720,511,221,33,20
6730,484,213,0,0
6740,544,227,12,5
6750,500,216,6,5
6760,540,223,0,0
6770,542,221,33,20
6780,519,214,0,0
6790,585,227,12,5
6800,543,216,6,5
6810,586,223,0,0
6820,591,222,33,20
6830,567,214,0,0
6840,633,227,11,5
6850,589,216,6,5
6860,634,223,0,0
6870,638,222,33,20
6880,612,214,0,0
6890,673,227,11,5
6900,621,216,7,5
6910,650,224,0,0
6920,642,223,33,20
6930,602,214,0,0
6940,649,227,11,5
6950,591,216,7,6
6960,616,223,0,0
6970,603,222,33,20
6980,558,213,0,0
6990,603,227,11,4
7000,543,216,7,6
7010,562,223,0,0
7020,549,222,33,20
7030,509,213,0,0
7040,556,227,10,4
7050,500,216,7,6
7060,523,223,0,0
7070,515,222,33,20
7080,479,213,0,0
7090,535,227,10,4
7100,491,216,7,6
7110,535,223,0,0
7120,549,223,33,20
7130,522,214,0,0
7140,599,227,9,4
7150,570,216,8,6
7160,620,223,0,0
7170,651,223,33,20
7180,639,213,0,0
7190,728,227,9,3
7200,700,216,8,6
7210,740,222,0,0
7220,748,223,33,20
7230,708,213,0,0
7240,761,226,9,3
7250,708,216,9,7
7260,735,222,0,0
7270,737,223,33,20
7280,696,213,0,0
7290,758,227,9,3
7300,714,216,9,7
7310,749,223,0,0
7320,759,223,33,20
7330,724,214,0,0
7340,789,226,9,3
7350,743,216,9,7
7360,774,223,0,0
7370,781,223,33,20
7380,741,214,0,0
7390,804,227,8,3
7400,763,217,10,7
7410,806,223,0,0
7420,824,224,33,20
7430,791,214,0,0
7440,855,227,8,3
7450,803,217,10,8
7460,822,223,0,0
7470,821,224,32,20
7480,777,214,0,0
7490,840,227,7,3
7500,798,217,11,8
7510,830,223,0,0
7520,841,225,32,20
7530,799,214,0,0
7540,858,227,7,2
7550,812,218,11,9
7560,848,223,0,0
7570,876,225,32,20
7580,846,214,0,0
7590,917,228,7,2
7600,883,218,12,9
7610,925,223,0,0
7620,954,224,32,19
7630,925,214,0,0
7640,1010,227,6,2
7650,982,217,12,9
7660,1024,223,0,0
7670,1046,224,32,19
7680,1005,214,0,0
7690,1070,226,7,2
7700,1028,217,13,10
7710,1056,222,0,0
7720,1069,225,32,19
7730,1019,214,0,0
7740,1068,227,6,2
7750,1011,217,13,10
7760,1026,223,0,0
7770,1030,225,32,19
7780,977,214,0,0
7790,1033,227,6,2
7800,984,218,14,11
7810,1004,223,0,0
7820,1013,225,32,19
7830,964,214,0,0
7840,1023,228,5,1
7850,976,218,15,11
7860,998,223,0,0
7870,1011,226,32,19
7880,964,215,0,0
7890,1025,228,5,1
7900,983,219,15,11
7910,1010,224,0,0
7920,1035,226,32,19
7930,1004,215,0,0
7940,1084,228,5,1
7950,1055,218,16,11
7960,1090,223,0,0
7970,1112,225,32,19
7980,1063,214,0,0
7990,1123,227,5,1
8000,1083,218,17,12
8010,1110,223,0,0
8020,1128,225,31,19
8030,1077,214,0,0
8040,1136,227,4,1
8050,1093,218,17,12
8060,1113,222,0,0
8070,1127,225,32,19
8080,1074,214,0,0
8090,1125,227,4,1
8100,1062,218,18,13
8110,1063,222,0,0
8120,1059,225,31,19
8130,992,214,0,0
8140,1038,226,4,0
8150,982,217,18,13
8160,993,222,0,0
8170,998,225,31,19
8180,935,213,0,0
8190,980,226,3,0
8200,925,217,18,13
8210,939,222,0,0
8220,953,225,31,18
8230,903,213,0,0
8240,965,226,3,0
8250,928,218,19,13
8260,961,222,0,0
8270,990,225,31,18
8280,948,213,0,0
8290,1013,226,3,0
8300,975,217,19,14
8310,997,221,0,0
8320,1020,225,31,18
8330,973,213,0,0
8340,1040,226,3,0
8350,1008,217,20,14
8360,1038,221,0,0
8370,1068,225,31,18
8380,1024,213,0,0
8390,1092,226,3,0
8400,1057,218,20,14
8410,1079,221,0,0
8420,1100,225,31,18
8430,1043,213,0,0
8440,1095,226,2,0
8450,1052,218,21,14
8460,1066,221,0,0
8470,1082,225,31,18
8480,1024,213,0,0
8490,1077,226,2,0
